pid	n_ppi	cell_names	n_annotations	specificity
19250909	30	NIH 3T3,2C116,MEF (C57BL/6)	3	2-4
19858347	30	BL-21	1	1
21241894	30	MDCK,HBEC3-KT,HeLa,HBEC1-KT,HBEC30-KT,HEK293	6	5-9
21311754	30	CHO,MDCK,SW480,3T3-Swiss albino,HCT 116	5	5-9
22323290	30	MRC-5,T7,HEK293T,HeLa	4	2-4
24498420	30	HG-261,CAMA-1,MCF-7,Sh #1	4	2-4
25817432	30	U2OS,HeLa,CC98	3	2-4
26259872	30	HEK293T,VACO 5,LoVo,HeLa,MEF (C57BL/6)	5	5-9
27437069	30	HL-60,HEK293	2	2-4
28089446	30	HEK293T,BL-21,HeLa,MEF (C57BL/6)	4	2-4
20434207	29	HeLa,HEK293	2	2-4
20603015	29	PC-10,T-REx-293,U2OS,HEK293	4	2-4
20697350	29	K-562	1	1
21911421	29	HG-261,HEK,MEF (C57BL/6),RAW 264.7,HEK293	5	5-9
21951318	29	NCI-H1792,Sf21,NCI-H1944,MCF-7,NCI-H1793,A-549,MDA-MB-231	7	5-9
24292625	29	HEK293T,MM1.S	2	2-4
24358021	29	T-REx-293,K-562,H9,U2OS,HeLa,HCT 116,WA09,HEK293,HeLa S3	9	5-9
24360965	29	HEK293T,MV-522,Sf9,HeLa,H1.1,HeLa S3	6	5-9
25996949	29	HEK293	1	1
26399832	29	HEK293T,HEK,Sf9,H9,AS-H 1	5	5-9
26748699	29	HeLa,HEK293	2	2-4
26966684	29	HEK293T,SH-2 [Human contaminated breast cancer]	2	2-4
27693506	29	HEK293T,RAW 264.7,H9,HeLa,MEF (C57BL/6)	5	5-9
20347429	28	MT,HT-1080,HeLa,HeLa S3	4	2-4
20598684	28	A-431,LNCaP,NIH 3T3	3	2-4
21532586	28	HEK293T,BOSC-23,HeLa,DU145	4	2-4
23236378	28	HEK293T,HeLa,HEK293	3	2-4
25820252	28	HEK293T,HeLa	2	2-4
20309963	27	Onda 9,BL-21,NIH 3T3,DD1291,HeLa,COS-7	6	5-9
20920251	27	HEK293T	1	1
21055985	27	HEK293T,U2OS,HeLa	3	2-4
22234250	27	HEK293T,HEK293	2	2-4
24837678	27	HeLa,HEK293	2	2-4
25356737	27	HEK293T,MCF-7,SK-OV-3,HEK293	4	2-4
25519132	27	Sf9,T-REx-293,HEK293T,MEF (C57BL/6),HEK293	5	5-9
27270040	27	HEK293T,HT-1080,HeLa	3	2-4
27626385	27	NCI-H1299,90-8,U2OS,MEF (C57BL/6),MCF-7,HCT 116,NCI-H460	7	5-9
28057766	27	CMT-1,HEK293T,T-REx-293,HeLa,HCT 116,HEK293	6	5-9
28655764	27	CCCL-6,293GP,HeLa,A2058	4	2-4
18281698	26	HEK,HeLa,EcR-293,HEK293	4	2-4
19214185	26	HeLa	1	1
23840749	26	HMN-1,BL-21,MOR,HEK,HEK293	5	5-9
24140708	26	MDA-MB-231,MEF (C57BL/6),HEK293	3	2-4
26212323	26	Huh-7.5	1	1
27569582	26	HEK293T,BEL-7402,MHCC97-H,OV2944-LM-3,MHCC97,Hep 3B2.1-7,Huh-7	7	5-9
28720576	26	MCF-10A,BxPC-3,HPDE,SK-BR-3,CFPAC-1,MCF-7,HEK293-FT,MCF-10AT,MDA-MB-231,BT-549,HEK293	11	10+
29420262	26	HEK,HEK293T,LS174T,HT-29,Caco-2	5	5-9
29581427	26	HEK293T,BL-21,U2OS,MEF (C57BL/6),MCF-7,HCT 116	6	5-9
20178742	25	Sf9,HeLa,HCT 116,HeLa S3	4	2-4
23027611	25	BL-21,HEK293	2	2-4
25590999	25	MRC-5,HEK293T,PC12,HEK293	4	2-4
26544073	25	GM11587	1	1
28178521	25	HEK293T,T-REx-293,HeLa	3	2-4
28436967	25	MRC-5,HEK293T,U2OS,HeLa,Schneider 2	5	5-9
19636380	24	HEK293T,MEF (C57BL/6)	2	2-4
20153263	24	K-562,HEK293T,U-937,MEF (C57BL/6),HB11;19	5	5-9
20614026	24	CH12.LX,GHOST(3).Hi-5	2	2-4
23353889	24	HEK293T	1	1
23741361	24	HEp-2,HEK293T,MCF-7,A-549	4	2-4
24035498	24	HEK293T,HeLa,HCT 116,HEK293	4	2-4
24439376	24	NIH 3T3	1	1
24647965	24	MRC-5,HEK293T,Sf21,BL-21,HeLa	5	5-9
25567906	24	HEK293T,LN-229,HeLa,MEF (C57BL/6),HEK293-EBNA	5	5-9
26506232	24	K-562,HL-60,HEK293T,U-937,MCF-7,HEK293	6	5-9
26670046	24	K-562,U-937,HeLa,MEF (C57BL/6),HaCaT,A-549	6	5-9
27483141	24	HEK293T,HeLa,IF6,MCF-7	4	2-4
28931009	24	HG-261,HEK,HEK293/AT1,HEK293	4	2-4
15328539	23	Sf9	1	1
18030348	23	T-REx-293,HeLa,MEF (C57BL/6),HEK293	4	2-4
18816836	23	HEK293T,PRX-129X1/SvJ #1,HEK	3	2-4
19914168	23	C2C12,BxPC-3,HEK293T,HeLa,MEF (C57BL/6),HaCaT,HaCa-4,HeLa S3,SW480	9	5-9
21385873	23	HEK293T,BL-21,HeLa	3	2-4
21822214	23	J558L,BL-21,J558	3	2-4
22792062	23	HEK293-A,HEK293T,HeLa,MEF (C57BL/6),HEK293,HEC-1-B	6	5-9
23085658	23	HMN-1,REX,Hep-G2,T-REx-293,MEF (C57BL/6),HEK293	6	5-9
23871696	23	HEK293T,hTERT-RPE1	2	2-4
24076655	23	Sf21,BL-21,T-REx-293,HEK293	4	2-4
24656813	23	HEK293T	1	1
26167883	23	BL-21,H-4,U2OS,HeLa S3	4	2-4
22114354	22	HEK293T	1	1
22405651	22	HEK293T,U2OS,HeLa,MEF (C57BL/6)	4	2-4
22632967	22	HEK293T,PC-3,hTERT-RPE1,U2OS,HeLa,MEF (C57BL/6),HCT 116,A-549	8	5-9
22705371	22	HeLa,HCT 116,HEK293	3	2-4
23097496	22	MRC-5,HEK293T,As4.1,HEK293,IOR/OS9,MDA-MB-231	6	5-9
24923560	22	NCI-H929,HeLa	2	2-4
25750436	22	HeLa,MEF (C57BL/6)	2	2-4
26870752	22	HEK293,HeLa S3	2	2-4
27833851	22	HMN-1,LiSa-2,NIH 3T3,MEF (C57BL/6)	4	2-4
28869606	22	HeLa,A-549	2	2-4
17375202	21	Sf9,BL-21,HeLa,PC-3	4	2-4
18173839	21	HG-261,NIH 3T3,Sf9,HeLa,HEK293	5	5-9
